logz logzerr logvol nlive logl logwt insert_order
-2.132745050238413736e+07 8.777040529143651656e+04 -1.230000000000000954e-01 1.000000000000000000e+03 -2.117111548728428409e+07 -2.117112251853952184e+07 1.647999999999999909e+00
-2.117112251853952184e+07 1.368066111772078730e+05 -1.240000000000000963e-01 1.000000000000000000e+03 -2.100661925568862259e+07 -2.100662628794385865e+07 1.399999999999999911e+00
-2.100662628794385865e+07 1.036207834459062287e+05 -1.250000000000000833e-01 1.000000000000000000e+03 -2.048184893143608794e+07 -2.048185596469132602e+07 4.560000000000000164e-01
-2.048185596469132602e+07 2.287009038538917084e+05 -1.260000000000000842e-01 1.000000000000000000e+03 -2.034085716921790317e+07 -2.034086420347313955e+07 1.400000000000000133e-01
-2.034086420347313955e+07 1.835066263315078977e+05 -1.270000000000000850e-01 1.000000000000000000e+03 -2.033331291175366938e+07 -2.033331994700890779e+07 1.701999999999999957e+00
-2.033331994700890779e+07 4.061186094854246767e+04 -1.280000000000000859e-01 1.000000000000000000e+03 -1.960102744506255910e+07 -1.960103448131779581e+07 8.459999999999999742e-01
-1.960103448131779581e+07 3.469880973199597211e+05 -1.290000000000000868e-01 1.000000000000000000e+03 -1.958138301160837337e+07 -1.958139004886361212e+07 2.439999999999999947e-01
-1.958139004886361212e+07 2.802656000612930511e+05 -1.300000000000000877e-01 1.000000000000000000e+03 -1.938513697063114494e+07 -1.938514400888638198e+07 1.379999999999999893e+00
-1.938514400888638198e+07 2.557362486119577952e+05 -1.310000000000000886e-01 1.000000000000000000e+03 -1.934210656697852537e+07 -1.934211360623376444e+07 6.179999999999999938e-01
-1.934211360623376444e+07 6.926302311117542558e+04 -1.320000000000000895e-01 1.000000000000000000e+03 -1.925781777595007420e+07 -1.925782481620531157e+07 1.332000000000000073e+00
-1.925782481620531157e+07 9.388707600114795787e+04 -1.330000000000000904e-01 1.000000000000000000e+03 -1.905084896698570251e+07 -1.905085600824093819e+07 1.866000000000000103e+00
-1.905085600824093819e+07 1.624257212243820250e+05 -1.340000000000000913e-01 1.000000000000000000e+03 -1.897222181172922626e+07 -1.897222885398446396e+07 8.960000000000000187e-01
-1.897222885398446396e+07 1.210025877562109526e+05 -1.350000000000000921e-01 1.000000000000000000e+03 -1.871132932765443623e+07 -1.871133637090967223e+07 1.504000000000000004e+00
-1.871133637090967223e+07 1.947003445484669646e+05 -1.360000000000000930e-01 1.000000000000000000e+03 -1.859276022471631318e+07 -1.859276726897155121e+07 1.969999999999999973e+00
-1.859276726897155121e+07 4.418871849581921560e+04 -1.370000000000000939e-01 1.000000000000000000e+03 -1.849399611855706200e+07 -1.849400316381229833e+07 1.199999999999999956e+00
-1.849400316381229833e+07 6.770040648772008717e+04 -1.380000000000000948e-01 1.000000000000000000e+03 -1.848085553473938629e+07 -1.848086258099462464e+07 3.160000000000000031e-01
-1.848086258099462464e+07 7.027614801648927096e+04 -1.390000000000000957e-01 1.000000000000000000e+03 -1.844632391797153652e+07 -1.844633096522677317e+07 1.417999999999999927e+00
-1.844633096522677317e+07 3.923055411556976469e+04 -1.400000000000000966e-01 1.000000000000000000e+03 -1.822061660983141512e+07 -1.822062365808665380e+07 1.022000000000000020e+00
-1.822062365808665380e+07 9.773380637894025131e+04 -1.410000000000000975e-01 1.000000000000000000e+03 -1.820577651346688345e+07 -1.820578356272212043e+07 6.700000000000000400e-01
-1.820578356272212043e+07 6.535022125479223178e+04 -1.420000000000000984e-01 1.000000000000000000e+03 -1.789058598875963315e+07 -1.789059303901487216e+07 1.342000000000000082e+00
-1.789059303901487216e+07 1.569018366418166843e+05 -1.430000000000000993e-01 1.000000000000000000e+03 -1.763060445800540224e+07 -1.763061150926063955e+07 1.556000000000000050e+00
-1.763061150926063955e+07 1.746582927092108002e+05 -1.440000000000001001e-01 1.000000000000000000e+03 -1.750429472535024956e+07 -1.750430177760548517e+07 3.079999999999999960e-01
-1.750430177760548517e+07 4.707289694150412106e+04 -1.450000000000001010e-01 1.000000000000000000e+03 -1.747503829737914354e+07 -1.747504535063438118e+07 7.199999999999999734e-01
-1.747504535063438118e+07 4.302169017669531604e+04 -1.460000000000001019e-01 1.000000000000000000e+03 -1.729148501152062416e+07 -1.729149206577586010e+07 1.036000000000000032e+00
-1.729149206577586010e+07 1.083296248253072408e+05 -1.470000000000001028e-01 1.000000000000000000e+03 -1.701385725643247738e+07 -1.701386431168771535e+07 1.880000000000000004e-01
