Teff logg R Av
3.273432061808249273e+03 4.964334315848942580e+00 5.286697733031968660e-01 1.824761083717789223e+00
3.267916599145356486e+03 4.554806859195036139e+00 5.270948036775136014e-01 1.799308567326435959e+00
3.222594515137905546e+03 4.538568584188627852e+00 5.329772726133115146e-01 1.772146908004087473e+00
3.311283733779951035e+03 4.568747188146968341e+00 5.137120808180667408e-01 1.798494547465724125e+00
3.320039928480657181e+03 4.624292695375045170e+00 5.142645604720237351e-01 1.764185984522413930e+00
3.345084854033643296e+03 4.599476111591168426e+00 5.100856401407903862e-01 1.798762118117361197e+00
3.247236005490904063e+03 4.775042626841235816e+00 5.357058727779172580e-01 1.882290058722134951e+00
3.376117729524215520e+03 4.647290789896736385e+00 4.987619390953224041e-01 1.729769471969575312e+00
3.247727936099704038e+03 4.523864807999592230e+00 5.337902827272417161e-01 1.783003438150659647e+00
3.263330079625090548e+03 4.509761110696275388e+00 5.238839653262578056e-01 1.768539435307511010e+00
3.249327315476380136e+03 4.816263905089735786e+00 5.344136189945948301e-01 1.882107861515895042e+00
3.265660751756594436e+03 4.615893960276387986e+00 5.270785721059798590e-01 1.726115340218354444e+00
3.320612707523261633e+03 4.632307079319250676e+00 5.144272571558398122e-01 1.728440912853156597e+00
3.230741505304729799e+03 4.896422729767708759e+00 5.502145043916987222e-01 1.962053870660304122e+00
3.258711570567734270e+03 4.581856600440030292e+00 5.315669423017974626e-01 1.861946652995647211e+00
3.238869782812427275e+03 4.782989236608599981e+00 5.329348904498535378e-01 1.764806831586635649e+00
3.271072713381105132e+03 4.829869256043215486e+00 5.286305527491659273e-01 1.816633778883148809e+00
3.297033341883615321e+03 4.671980674703713809e+00 5.212234236260868681e-01 1.788098395576321664e+00
3.369063932550200661e+03 4.686236613158109243e+00 5.120855491259838077e-01 1.847693370636653620e+00
3.268186991204353035e+03 4.649968445062574673e+00 5.240087380635435332e-01 1.781155881415233955e+00
3.373593648484230471e+03 4.455418196213832616e+00 5.008749519477051493e-01 1.630095138694632073e+00
3.282595149944715558e+03 5.191867924250956889e+00 5.351699993021941104e-01 1.988683451631255705e+00
3.293993336125144197e+03 4.508385111667276846e+00 5.226259689694093824e-01 1.790212515074895094e+00
3.254652546631748919e+03 4.903243986699953538e+00 5.335227342471918766e-01 1.823439892380338101e+00
3.289035792061081793e+03 4.241454948675566605e+00 5.042587745970422697e-01 1.568494050171245213e+00
3.192377016870025727e+03 5.084804510581627746e+00 5.521969923468971198e-01 1.872693451502547513e+00
3.304684537973441365e+03 4.541335936483419822e+00 5.174391315903692501e-01 1.709441988975475724e+00
3.351107550210453155e+03 4.806115120767415760e+00 5.092880219219939608e-01 1.784596662769315500e+00
3.236150649127668203e+03 4.698212074501190827e+00 5.406673839587221586e-01 1.915024912025317105e+00
3.259019474349898246e+03 4.423329050385053307e+00 5.149168413793326904e-01 1.608354007680196096e+00
3.247860371510540062e+03 4.909981863969099081e+00 5.335268195625051391e-01 1.873860296887283283e+00
3.259636980103728092e+03 4.578889743869422269e+00 5.307593328799389276e-01 1.869608934902090569e+00
3.311654042231035419e+03 4.569969628394250805e+00 5.165736203948477767e-01 1.850034928005473089e+00
3.312813615699425100e+03 4.464106412152789360e+00 5.071397937437797099e-01 1.653134086851753448e+00
3.319199764621496797e+03 4.332212339473315410e+00 5.024310964794114209e-01 1.566646577288284714e+00
3.311270575815771736e+03 4.596389201890472620e+00 5.173726583826885328e-01 1.723597691178830660e+00
3.253693074651380812e+03 4.669342849935782525e+00 5.365629241154533657e-01 1.869506463822395492e+00
3.183331880844425541e+03 4.638931646834458355e+00 5.476098000004147037e-01 1.904907777734462293e+00
3.312936333308578469e+03 4.529592171882757867e+00 5.215842308166419583e-01 1.795829623534761055e+00
3.283802557094149961e+03 4.575767333809517723e+00 5.300325059990493859e-01 1.867292989963635685e+00
3.266536717234747812e+03 4.583277306695276110e+00 5.165523654404334808e-01 1.672359487198018968e+00
3.279796416315613897e+03 4.480152888421059743e+00 5.177276247388578057e-01 1.770031814413908444e+00
3.218830979240008674e+03 4.615070383577936752e+00 5.355817373572264728e-01 1.805022415817427284e+00
3.277896982686515457e+03 4.805316397522115146e+00 5.358484203831610504e-01 1.854060240570805984e+00
3.224494770298085768e+03 4.651208136732523535e+00 5.351458336640377844e-01 1.851765215096934591e+00
3.234933376015964313e+03 4.763910334155660564e+00 5.383179519454865947e-01 1.832557264503845929e+00
3.273338747136390793e+03 4.463700090163142953e+00 5.165964668507646573e-01 1.727865873308232159e+00
3.319365208133714077e+03 4.679763635725010751e+00 5.143546625713661946e-01 1.790441060433645593e+00
3.285053541711607977e+03 4.609385647969657995e+00 5.298354199071112491e-01 1.887533107590411596e+00
3.285784165959648817e+03 4.709310278309590814e+00 5.185258527962262054e-01 1.775235986783922693e+00
3.249722170928029300e+03 4.685267079710857985e+00 5.327159309653521913e-01 1.767000560719579338e+00
3.263034301124948797e+03 4.451933717992806905e+00 5.285828703795961703e-01 1.804428338836508994e+00
3.236089244431409497e+03 4.481571159666101423e+00 5.278459864770354004e-01 1.775050817957550819e+00
3.226717641652090151e+03 5.003131485033284420e+00 5.480356533216783621e-01 2.012977910331877673e+00
3.256895471041581004e+03 4.584662516001696275e+00 5.314455928919814554e-01 1.892654107262316199e+00
3.300586007323255217e+03 4.576764364822665243e+00 5.162331511616751190e-01 1.717240973709499352e+00
3.211814959761737555e+03 4.624287929465378255e+00 5.393246114929489687e-01 1.858907266914977097e+00
3.202406061355622114e+03 4.946575800486472829e+00 5.358367577492451073e-01 1.772217957075895356e+00
3.319023272432981685e+03 4.919433448718034896e+00 5.230120712503633085e-01 1.891437526575800998e+00
